	rank	player	pts_per_g	trb_per_g	ast_per_g	stl_per_g	blk_per_g	fg_pct	ws	ws_per_48
674	13	LeBron James	25	7.7	7.8	1.1	0.6	0.513	5.6	0.179
675	13	Kawhi Leonard	24.8	6.5	5.2	1.6	0.4	0.512	8.8	0.238
676	1	Nikola Joki«?∂?	27.1	13.8	7.9	1.5	0.9	0.583	15.2	0.296
677	2	Joel Embiid	30.6	11.7	4.2	1.1	1.5	0.499	12	0.252
678	3	Giannis Antetokounmpo	29.9	11.6	5.8	1.1	1.4	0.553	12.9	0.281
679	4	Devin Booker	26.8	5	4.8	1.1	0.4	0.466	7.6	0.156
680	5	Luka Don«?∂çi«?∂?	28.4	9.1	8.7	1.2	0.6	0.457	7.6	0.159
681	6	Jayson Tatum	26.9	8	4.4	1	0.6	0.453	9.6	0.169
682	7	Ja Morant	27.4	5.7	6.7	1.2	0.4	0.493	6.7	0.171
683	8	Stephen Curry	25.5	5.2	6.3	1.3	0.4	0.437	8	0.173
684	9	Chris Paul	14.7	4.4	10.8	1.9	0.3	0.493	9.4	0.21
685	10	DeMar DeRozan	27.9	5.2	4.9	0.9	0.3	0.504	8.8	0.154
686	10	Kevin Durant	29.9	7.4	6.4	0.9	0.9	0.518	8.4	0.198
687	10	LeBron James	30.3	8.2	6.2	1.3	1.1	0.524	7.5	0.172
688	1	Joel Embiid	33.1	10.2	4.2	1	1.7	0.548	12.3	0.259
689	2	Nikola Joki«?∂?	24.5	11.8	9.8	1.3	0.7	0.632	14.9	0.308
690	3	Giannis Antetokounmpo	31.1	11.8	5.7	0.8	0.8	0.553	8.6	0.204
691	4	Jayson Tatum	30.1	8.8	4.6	1.1	0.7	0.466	10.5	0.185
692	5	Shai Gilgeous-Alexander	31.4	4.8	5.5	1.6	1	0.51	11.4	0.226
693	6	Donovan Mitchell	28.3	4.3	4.4	1.5	0.4	0.484	8.9	0.176
694	7	Domantas Sabonis	19.1	12.3	7.3	0.8	0.5	0.615	12.6	0.221
695	8	Luka Don«?∂çi«?∂?	32.4	8.6	8	1.4	0.5	0.496	10.2	0.204
696	9	Stephen Curry	29.4	6.1	6.3	0.9	0.4	0.493	7.8	0.192
697	10	Jimmy Butler	22.9	5.9	5.3	1.8	0.3	0.539	12.3	0.277
698	11	De'Aaron Fox	25	4.2	6.1	1.1	0.3	0.512	7.4	0.146
699	12	Jalen Brunson	24	3.5	6.2	0.9	0.2	0.491	8.7	0.175
700	12	Ja Morant	26.2	5.9	8.1	1.1	0.3	0.466	6	0.148
701	1	Nikola Joki«?∂?	26.4	12.4	9	1.4	0.9	0.583	17	0.299
702	2	Shai Gilgeous-Alexander	30.1	5.5	6.2	2	0.9	0.535	14.6	0.275
703	3	Luka Don«?∂çi«?∂?	33.9	9.2	9.8	1.4	0.5	0.487	12	0.22
704	4	Giannis Antetokounmpo	30.4	11.5	6.5	1.2	1.1	0.611	13.2	0.246
705	5	Jalen Brunson	28.7	3.6	6.7	0.9	0.2	0.479	11.2	0.198
706	6	Jayson Tatum	26.9	8.1	4.9	1	0.6	0.471	10.4	0.189
707	7	Anthony Edwards	25.9	5.4	5.1	1.3	0.5	0.461	7.5	0.13
708	8	Domantas Sabonis	19.4	13.7	8.2	0.9	0.6	0.594	12.6	0.206
709	9	Kevin Durant	27.1	6.6	5	0.9	1.2	0.523	8.3	0.142
