	rank	player	pts_per_g	trb_per_g	ast_per_g	stl_per_g	blk_per_g	fg_pct	ws	ws_per_48
203	2	Magic Johnson	19.4	7	12.5	1.3	0.2	0.477	15.4	0.251
204	3	David Robinson	25.6	13	2.5	1.5	3.9	0.552	17	0.264
205	4	Charles Barkley	27.6	10.1	4.2	1.6	0.5	0.57	13.4	0.258
206	5	Karl Malone	29	11.8	3.3	1.1	1	0.527	15.5	0.225
207	6	Clyde Drexler	21.5	6.7	6	1.8	0.7	0.482	12.4	0.209
208	7	Kevin Johnson	22.2	3.5	10.1	2.1	0.1	0.516	12.7	0.22
209	8	Dominique Wilkins	25.9	9	3.3	1.5	0.8	0.47	11.4	0.177
210	9	Larry Bird	19.4	8.5	7.2	1.8	1	0.454	6.6	0.14
211	9	Terry Porter	17	3.5	8	2	0.1	0.515	13	0.235
212	11	Patrick Ewing	26.6	11.2	3	1	3.2	0.514	10	0.155
213	12	John Stockton	17.2	2.9	14.2	2.9	0.2	0.507	14	0.217
214	13	Isiah Thomas	16.2	3.3	9.3	1.6	0.2	0.435	3.4	0.098
215	14	Robert Parish	14.9	10.6	0.8	0.8	1.3	0.598	10	0.198
216	15	Joe Dumars	20.4	2.3	5.5	1.1	0.1	0.481	9.9	0.155
217	16	Bernard King	28.4	5	4.6	0.9	0.3	0.472	3.5	0.07
218	17	Kenny Smith	17.7	2.1	7.1	1.4	0.1	0.52	9	0.161
219	18	Hakeem Olajuwon	21.2	13.8	2.3	2.2	3.9	0.508	8.6	0.201
220	19	Tim Hardaway	22.9	4	9.7	2.6	0.1	0.476	9.9	0.148
221	19	Kevin McHale	18.4	7.1	1.9	0.4	2.1	0.553	7.9	0.182
222	1	Michael Jordan	30.1	6.4	6.1	2.3	0.9	0.519	17.7	0.274
223	2	Clyde Drexler	25	6.6	6.7	1.8	0.9	0.47	12.8	0.223
224	3	David Robinson	23.2	12.2	2.7	2.3	4.5	0.551	13.9	0.26
225	4	Karl Malone	28	11.2	3	1.3	0.6	0.526	15.1	0.237
226	5	Patrick Ewing	24	11.2	1.9	1.1	3	0.522	13	0.198
227	6	Chris Mullin	25.6	5.6	3.5	2.1	0.8	0.524	10.8	0.155
228	7	Mark Price	17.3	2.4	7.4	1.3	0.2	0.488	9.1	0.205
229	8	Tim Hardaway	23.4	3.8	10	2	0.2	0.461	9.2	0.132
230	9	Scottie Pippen	21	7.7	7	1.9	1.1	0.506	12.7	0.192
231	10	Dennis Rodman	9.8	18.7	2.3	0.8	0.9	0.539	12.6	0.183
232	11	Brad Daugherty	21.5	10.4	3.6	0.9	1.1	0.57	11.7	0.213
233	12	Charles Barkley	23.1	11.1	4.1	1.8	0.6	0.552	12.3	0.205
234	12	John Stockton	15.8	3.3	13.7	3	0.3	0.482	13.4	0.215
235	14	Larry Bird	20.2	9.6	6.8	0.9	0.7	0.466	5.5	0.159
236	15	Kevin Johnson	19.7	3.7	10.7	1.5	0.3	0.479	10	0.165
237	16	Danny Manning	19.3	6.9	3.5	1.6	1.5	0.542	9.8	0.162
238	16	Detlef Schrempf	17.3	9.6	3.9	0.8	0.5	0.536	9.8	0.181
239	1	Charles Barkley	25.6	12.2	5.1	1.6	1	0.52	14.4	0.242
240	2	Hakeem Olajuwon	26.1	13	3.5	1.8	4.2	0.529	15.8	0.234
241	3	Michael Jordan	32.6	6.7	5.5	2.8	0.8	0.495	17.2	0.27
242	4	Patrick Ewing	24.2	12.1	1.9	0.9	2	0.503	10.6	0.17
243	5	Dominique Wilkins	29.9	6.8	3.2	1	0.4	0.468	10.5	0.191
244	6	David Robinson	23.4	11.7	3.7	1.5	3.2	0.501	13.2	0.197
245	7	Shaquille O'Neal	23.4	13.9	1.9	0.7	3.5	0.562	10.4	0.163
246	8	Karl Malone	27	11.2	3.8	1.5	1	0.552	15.4	0.238
247	8	Mark Price	18.2	2.7	8	1.2	0.1	0.484	9.8	0.197
248	10	Brad Daugherty	20.2	10.2	4.4	0.7	0.8	0.571	12.7	0.226
249	10	Clyde Drexler	19.9	6.3	5.7	1.9	0.8	0.429	6	0.171
250	10	Joe Dumars	23.5	1.9	4	1	0.1	0.466	9.1	0.141
251	10	Shawn Kemp	17.8	10.7	2	1.5	1.9	0.492	9.1	0.169
252	10	John Stockton	15.1	2.9	12	2.4	0.3	0.486	10.6	0.177
253	1	Hakeem Olajuwon	27.3	11.9	3.6	1.6	3.7	0.528	14.3	0.21
254	2	David Robinson	29.8	10.7	4.8	1.7	3.3	0.507	20	0.296
255	3	Scottie Pippen	22	8.7	5.6	2.9	0.8	0.491	11.2	0.194
256	4	Shaquille O'Neal	29.3	13.2	2.4	0.9	2.9	0.599	16.9	0.252
257	5	Patrick Ewing	24.5	11.2	2.3	1.1	2.7	0.496	13.1	0.211
258	6	Gary Payton	16.5	3.3	6	2.3	0.2	0.504	9.3	0.155
259	7	Shawn Kemp	18.1	10.8	2.6	1.8	2.1	0.538	11.7	0.216
260	7	Karl Malone	25.2	11.5	4	1.5	1.5	0.497	13.4	0.193
261	9	Mark Price	17.3	3	7.8	1.4	0.1	0.478	10	0.201
262	10	Charles Barkley	21.6	11.2	4.6	1.6	0.6	0.495	8.8	0.185
263	11	Mookie Blaylock	13.8	5.2	9.7	2.6	0.5	0.411	10.2	0.168
264	11	Kevin Johnson	20	2.5	9.5	1.9	0.1	0.487	8.7	0.17
265	11	Dennis Rodman	4.7	17.3	2.3	0.7	0.4	0.534	8.7	0.14
266	11	Latrell Sprewell	21	4.9	4.7	2.2	0.9	0.433	8	0.108
267	11	John Stockton	15.1	3.1	12.6	2.4	0.3	0.528	13.2	0.214
268	11	Dominique Wilkins	26	6.5	2.3	1.2	0.4	0.44	8.4	0.153
269	11	Kevin Willis	19.1	12	1.9	1	0.5	0.499	10.2	0.17
270	1	David Robinson	27.6	10.8	2.9	1.7	3.2	0.53	17.5	0.273
271	2	Shaquille O'Neal	29.3	11.4	2.7	0.9	2.4	0.583	14	0.23
272	3	Karl Malone	26.7	10.6	3.5	1.6	1	0.536	13.8	0.212
273	4	Patrick Ewing	23.9	11	2.7	0.9	2	0.503	9.6	0.157
274	5	Hakeem Olajuwon	27.8	10.8	3.5	1.8	3.4	0.517	10.7	0.181
275	6	Charles Barkley	23	11.1	4.1	1.6	0.7	0.486	10.6	0.214
276	7	Scottie Pippen	21.4	8.1	5.2	2.9	1.1	0.48	11.8	0.188
277	8	John Stockton	14.7	3.1	12.3	2.4	0.3	0.542	13.9	0.233
278	9	Gary Payton	20.6	3.4	7.1	2.5	0.2	0.509	11.7	0.187
279	10	Anfernee Hardaway	20.9	4.4	7.2	1.7	0.3	0.512	10.7	0.177
280	11	Michael Jordan	26.9	6.9	5.3	1.8	0.8	0.411	2.3	0.167
281	12	Dennis Rodman	7.1	16.8	2	0.6	0.5	0.571	5.8	0.178
282	13	Jason Kidd	11.7	5.4	7.7	1.9	0.3	0.385	3.7	0.066
283	14	Clyde Drexler	21.8	6.3	4.8	1.8	0.6	0.461	11.7	0.206
284	15	Cedric Ceballos	21.7	8	1.8	1	0.3	0.509	5.2	0.123
285	1	Michael Jordan	30.4	6.6	4.3	2.2	0.5	0.495	20.4	0.317
286	2	David Robinson	25	12.2	3	1.4	3.3	0.516	18.3	0.29
287	3	Anfernee Hardaway	21.7	4.3	7.1	2	0.5	0.513	14.4	0.229
288	4	Hakeem Olajuwon	26.9	10.9	3.6	1.6	2.9	0.514	9.7	0.166
289	5	Scottie Pippen	19.4	6.4	5.9	1.7	0.7	0.463	12.3	0.209
290	6	Gary Payton	19.3	4.2	7.5	2.9	0.2	0.484	11.5	0.174
291	7	Karl Malone	25.7	9.8	4.2	1.7	0.7	0.519	15.1	0.233
292	8	Shawn Kemp	19.6	11.4	2.2	1.2	1.6	0.561	11.2	0.205
293	9	Grant Hill	20.2	9.8	6.9	1.3	0.6	0.462	11.7	0.172
294	9	Shaquille O'Neal	26.6	11	2.9	0.6	2.1	0.573	6.9	0.171
295	11	John Stockton	14.7	2.8	11.2	1.7	0.2	0.538	13	0.214
296	12	Charles Barkley	23.2	11.6	3.7	1.6	0.8	0.5	10.5	0.191
297	12	Magic Johnson	14.6	5.7	6.9	0.8	0.4	0.466	3.6	0.181
298	14	Alonzo Mourning	23.2	10.4	2.3	1	2.7	0.523	9.9	0.178
299	15	Dennis Rodman	5.5	14.9	2.5	0.6	0.4	0.48	6.2	0.143
300	16	Terrell Brandon	19.3	3.3	6.5	1.8	0.4	0.465	12.7	0.237
301	16	Mitch Richmond	23.1	3.3	3.1	1.5	0.2	0.447	9.3	0.151
302	1	Karl Malone	27.4	9.9	4.5	1.4	0.6	0.55	16.7	0.268
303	2	Michael Jordan	29.6	5.9	4.3	1.7	0.5	0.486	18.3	0.283
304	3	Grant Hill	21.4	9	7.3	1.8	0.6	0.496	14.6	0.223
305	4	Tim Hardaway	20.3	3.4	8.6	1.9	0.1	0.415	12.9	0.198
306	5	Glen Rice	26.8	4	2	0.9	0.3	0.477	10.8	0.154
307	6	Gary Payton	21.8	4.6	7.1	2.4	0.2	0.476	12.9	0.193
308	7	Hakeem Olajuwon	23.2	9.2	3	1.5	2.2	0.51	9.1	0.154
309	8	Patrick Ewing	22.4	10.7	2	0.9	2.4	0.488	9.8	0.163
310	9	Anthony Mason	16.2	11.4	5.7	1	0.5	0.525	11.4	0.173
311	9	Shaquille O'Neal	26.2	12.5	3.1	0.9	2.9	0.557	8	0.197
312	11	Scottie Pippen	20.2	6.5	5.7	1.9	0.5	0.474	13.1	0.203
313	12	Alonzo Mourning	19.8	9.9	1.6	0.8	2.9	0.534	8.4	0.174
314	13	Dikembe Mutombo	13.3	11.6	1.4	0.6	3.3	0.527	11.3	0.183
315	13	Mitch Richmond	25.9	3.9	4.2	1.5	0.3	0.454	10.8	0.166
316	15	John Stockton	14.4	2.8	10.5	2	0.2	0.548	13.6	0.226
317	16	Charles Barkley	19.2	13.5	4.7	1.3	0.5	0.484	9.4	0.224
318	17	Tom Gugliotta	20.6	8.7	4.1	1.6	1.1	0.442	6.7	0.103
319	17	Allen Iverson	23.5	4.1	7.5	2.1	0.3	0.416	4.1	0.065
320	17	Kevin Johnson	20.1	3.6	9.3	1.5	0.2	0.496	11.7	0.211
321	17	Steve Smith	20.1	3.3	4.2	0.9	0.3	0.429	9.1	0.154
322	1	Michael Jordan	28.7	5.8	3.5	1.7	0.5	0.465	15.8	0.238
323	2	Karl Malone	27	10.3	3.9	1.2	0.9	0.53	16.4	0.259
324	3	Gary Payton	19.2	4.6	8.3	2.3	0.2	0.453	12.5	0.19
325	4	Shaquille O'Neal	28.3	11.4	2.4	0.7	2.4	0.584	10.2	0.224
326	5	Tim Duncan	21.1	11.9	2.7	0.7	2.5	0.549	12.8	0.192
327	6	Tim Hardaway	18.9	3.7	8.3	1.7	0.2	0.431	11.7	0.185
328	7	David Robinson	21.6	10.6	2.7	0.9	2.6	0.511	13.8	0.269
329	8	Vin Baker	19.2	8	1.9	1.1	1	0.542	10.4	0.169
330	9	Grant Hill	21.1	7.7	6.8	1.8	0.7	0.452	10.2	0.149
331	10	Scottie Pippen	19.1	5.2	5.8	1.8	1	0.447	6.6	0.193
332	11	Glen Rice	22.3	4.3	2.2	0.9	0.3	0.457	9.3	0.136
333	12	Antoine Walker	22.4	10.2	3.3	1.7	0.7	0.423	4.7	0.07
334	13	Jason Kidd	11.6	6.2	9.1	2	0.3	0.416	8	0.123
335	13	John Stockton	12	2.6	8.5	1.4	0.2	0.528	8	0.206
336	15	Mitch Richmond	23.2	3.3	4	1.3	0.2	0.445	7.9	0.148
337	16	Reggie Miller	19.5	2.9	2.1	1	0.1	0.477	12	0.206
338	16	Rik Smits	16.7	6.9	1.4	0.5	1.2	0.495	6.1	0.141
339	18	Michael Finley	21.5	5.3	4.9	1.6	0.4	0.449	7.5	0.106
340	18	Rod Strickland	17.8	5.3	10.5	1.7	0.3	0.434	8.1	0.129
341	1	Karl Malone	23.8	9.4	4.1	1.3	0.6	0.493	9.6	0.252
342	2	Alonzo Mourning	20.1	11	1.6	0.7	3.9	0.511	7.9	0.216
343	3	Tim Duncan	21.7	11.4	2.4	0.9	2.5	0.495	8.7	0.213
344	4	Allen Iverson	26.8	4.9	4.6	2.3	0.1	0.412	7.2	0.173
345	5	Jason Kidd	16.9	6.8	10.8	2.3	0.4	0.444	8.1	0.188
346	6	Shaquille O'Neal	26.3	10.7	2.3	0.7	1.7	0.576	9	0.255
347	7	Chris Webber	20	13	4.1	1.4	2.1	0.486	3.6	0.102
348	8	Grant Hill	21.1	7.1	6	1.6	0.5	0.479	7.3	0.189
349	9	Gary Payton	21.7	4.9	8.7	2.2	0.2	0.434	7.2	0.172
350	10	Kevin Garnett	20.8	10.4	4.3	1.7	1.8	0.46	5.4	0.146
351	11	Shawn Kemp	20.5	9.2	2.4	1.1	1.1	0.482	6.3	0.205
352	12	David Robinson	15.8	10	2.1	1.4	2.4	0.509	8.4	0.261
353	13	Hakeem Olajuwon	18.9	9.6	1.8	1.6	2.5	0.514	6.5	0.175
354	13	Arvydas Sabonis	12.1	7.9	2.4	0.7	1.3	0.485	5.8	0.207
355	15	Darrell Armstrong	13.8	3.6	6.7	2.2	0.1	0.441	6.4	0.205
356	16	Vince Carter	18.3	5.7	3	1.1	1.5	0.45	5	0.136
357	16	Anfernee Hardaway	15.8	5.7	5.3	2.2	0.5	0.42	5	0.122
358	16	Mark Jackson	7.6	3.8	7.9	0.9	0.1	0.419	3.8	0.134
359	16	Glenn Robinson	18.4	5.9	2.1	1	0.9	0.459	4	0.122
360	16	Steve Smith	18.7	4.2	3.3	1	0.3	0.402	4.4	0.162
361	16	Rasheed Wallace	12.8	4.9	1.2	1	1.1	0.508	5	0.169
362	1	Shaquille O'Neal	29.7	13.6	3.8	0.5	3	0.574	18.6	0.283
363	2	Kevin Garnett	22.9	11.8	5	1.5	1.6	0.497	11.6	0.172
364	3	Alonzo Mourning	21.7	9.5	1.6	0.5	3.7	0.551	12.9	0.226
365	4	Karl Malone	25.5	9.5	3.7	1	0.9	0.509	15.3	0.249
366	5	Tim Duncan	23.2	12.4	3.2	0.9	2.2	0.49	13	0.218
367	6	Gary Payton	24.2	6.5	8.9	1.9	0.2	0.448	13.9	0.195
368	7	Allen Iverson	28.4	3.8	4.7	2.1	0.1	0.421	6.9	0.116
369	8	Grant Hill	25.8	6.6	5.2	1.4	0.6	0.489	10.7	0.185
370	9	Chris Webber	24.5	10.5	4.6	1.6	1.7	0.483	10.7	0.179
371	10	Vince Carter	25.7	5.8	3.9	1.3	1.1	0.465	11.8	0.182
372	11	Jason Kidd	14.3	7.2	10.1	2	0.4	0.409	8.5	0.156
373	12	Kobe Bryant	22.5	6.3	4.9	1.6	0.9	0.468	10.6	0.202
374	13	Darrell Armstrong	16.2	3.3	6.1	2.1	0.1	0.433	8	0.149
375	13	Michael Finley	22.6	6.3	5.3	1.3	0.4	0.457	8.3	0.114
376	13	Reggie Miller	18.1	3	2.3	1	0.3	0.448	10.1	0.162
377	13	Jalen Rose	18.2	4.8	4	1.1	0.6	0.471	7.3	0.118
378	1	Allen Iverson	31.1	3.8	4.6	2.5	0.3	0.42	11.8	0.19
379	2	Tim Duncan	22.2	12.2	3	0.9	2.3	0.499	13.2	0.2
380	3	Shaquille O'Neal	28.7	12.7	3.7	0.6	2.8	0.572	14.9	0.245
381	4	Chris Webber	27.1	11.1	4.2	1.3	1.7	0.481	11	0.186
382	5	Kevin Garnett	22	11.4	5	1.4	1.8	0.477	11.8	0.176
383	6	Tracy McGrady	26.8	7.5	4.6	1.5	1.5	0.457	12.2	0.189
384	7	Karl Malone	23.2	8.3	4.5	1.1	0.8	0.498	13.1	0.217
385	8	Jason Kidd	16.9	6.4	9.8	2.2	0.3	0.411	9.6	0.15
386	9	Kobe Bryant	28.5	5.9	5	1.7	0.6	0.464	11.3	0.196
387	10	David Robinson	14.4	8.6	1.5	1	2.5	0.486	12.1	0.246
388	11	Ray Allen	22	5.2	4.6	1.5	0.2	0.48	13.7	0.211
389	11	Vince Carter	27.6	5.5	3.9	1.5	1.1	0.46	12.9	0.208
390	13	Paul Pierce	25.3	6.4	3.1	1.7	0.8	0.454	10.4	0.16
391	14	Jerry Stackhouse	29.8	3.9	5.1	1.2	0.7	0.402	9.2	0.137
392	15	Michael Finley	21.5	5.2	4.4	1.4	0.4	0.458	8.5	0.119
393	15	Anthony Mason	16.1	9.6	3.1	1	0.3	0.482	11.6	0.171
394	15	John Stockton	11.5	2.8	8.7	1.6	0.3	0.504	10.8	0.216
395	1	Tim Duncan	25.5	12.7	3.7	0.7	2.5	0.508	17.8	0.257
396	2	Jason Kidd	14.7	7.3	9.9	2.1	0.2	0.391	8.9	0.14
397	3	Shaquille O'Neal	27.2	10.7	3	0.6	2	0.579	13.2	0.262
398	4	Tracy McGrady	25.6	7.9	5.3	1.6	1	0.451	11.5	0.189
399	5	Kobe Bryant	25.2	5.5	5.5	1.5	0.4	0.469	12.7	0.199
400	6	Gary Payton	22.1	4.8	9	1.6	0.3	0.467	12.6	0.183
401	7	Chris Webber	24.5	10.1	4.8	1.7	1.4	0.495	8.6	0.2
402	8	Dirk Nowitzki	23.4	9.9	2.4	1.1	1	0.477	13.4	0.222
403	9	Allen Iverson	31.4	4.5	5.5	2.8	0.2	0.398	6.9	0.126
404	10	Ben Wallace	7.6	13	1.4	1.7	3.5	0.531	11.6	0.19
405	11	Paul Pierce	26.1	6.9	3.2	1.9	1	0.442	12.9	0.187
406	12	Kevin Garnett	21.2	12.1	5.2	1.2	1.6	0.47	12.8	0.194
407	13	Michael Jordan	22.9	5.7	5.2	1.4	0.4	0.416	3.3	0.075
408	14	Steve Nash	17.9	3.1	7.7	0.6	0	0.483	9.9	0.167
409	15	Jerry Stackhouse	21.4	4.1	5.3	1	0.5	0.397	5.8	0.104
410	16	Mike Bibby	13.7	2.8	5	1.1	0.2	0.453	6.3	0.113
411	16	Elton Brand	18.2	11.6	2.4	1	2	0.527	13.6	0.216
412	16	Peja Stojakovi«?∂?	21.2	5.3	2.5	1.1	0.2	0.484	9.9	0.179
413	1	Tim Duncan	23.3	12.9	3.9	0.7	2.9	0.513	16.5	0.248
414	2	Kevin Garnett	23	13.4	6	1.4	1.6	0.502	15.6	0.225
415	3	Kobe Bryant	30	6.9	5.9	2.2	0.8	0.451	14.9	0.21
416	4	Tracy McGrady	32.1	6.5	5.5	1.7	0.8	0.457	16.1	0.262
417	5	Shaquille O'Neal	27.5	11.1	3.1	0.6	2.4	0.574	13.2	0.25
418	6	Allen Iverson	27.6	4.2	5.5	2.7	0.2	0.414	9.2	0.127
419	7	Dirk Nowitzki	25.1	9.9	3	1.4	1	0.463	16.1	0.249
420	8	Ben Wallace	6.9	15.4	1.6	1.4	3.2	0.481	10.6	0.176
421	9	Jason Kidd	18.7	6.3	8.9	2.2	0.3	0.414	11.3	0.182
422	10	Chris Webber	23	10.5	5.4	1.6	1.3	0.461	6.9	0.127
423	11	Jamal Mashburn	21.6	6.1	5.6	1	0.2	0.422	9	0.13
424	11	Steve Nash	17.7	2.9	7.3	1	0.1	0.465	11.6	0.206
425	11	Paul Pierce	25.9	7.3	4.4	1.8	0.8	0.416	10.1	0.157
426	1	Kevin Garnett	24.2	13.9	5	1.5	2.2	0.499	18.3	0.272
427	2	Tim Duncan	22.3	12.4	3.1	0.9	2.7	0.501	13.1	0.249
428	3	Jermaine O'Neal	20.1	10	2.1	0.8	2.6	0.434	9	0.155
429	4	Peja Stojakovi«?∂?	24.2	6.3	2.1	1.3	0.2	0.48	13.5	0.198
430	5	Kobe Bryant	24	5.5	5.1	1.7	0.4	0.438	10.7	0.21
431	6	Shaquille O'Neal	21.5	11.5	2.9	0.5	2.5	0.584	9.9	0.192
432	7	Ben Wallace	9.5	12.4	1.7	1.8	3	0.421	10.2	0.16
433	8	Jason Kidd	15.5	6.4	9.2	1.8	0.2	0.384	7.2	0.141
434	9	LeBron James	20.9	5.5	5.9	1.6	0.7	0.417	5.1	0.078
435	10	Sam Cassell	19.8	3.3	7.3	1.3	0.2	0.488	12.1	0.205
436	10	Baron Davis	22.9	4.3	7.5	2.4	0.4	0.395	7.5	0.133
437	10	Dirk Nowitzki	21.8	8.7	2.7	1.2	1.4	0.462	11.5	0.19
438	13	Andrei Kirilenko	16.5	8.1	3.1	1.9	2.8	0.443	11.6	0.192
439	14	Carmelo Anthony	21	6.1	2.8	1.2	0.5	0.426	6.1	0.098
440	14	Yao Ming	17.5	9	1.5	0.3	1.9	0.522	11.4	0.202
441	14	Michael Redd	21.7	5	2.3	1	0.1	0.44	9.7	0.154
442	1	Steve Nash	15.5	3.3	11.5	1	0.1	0.502	10.9	0.203
443	2	Shaquille O'Neal	22.9	10.4	2.7	0.5	2.3	0.601	11	0.211
444	3	Dirk Nowitzki	26.1	9.7	3.1	1.2	1.5	0.459	15.6	0.248
445	4	Tim Duncan	20.3	11.1	2.7	0.7	2.6	0.496	11.2	0.245
446	5	Allen Iverson	30.7	4	7.9	2.4	0.1	0.424	9	0.136
447	6	LeBron James	27.2	7.4	7.2	2.2	0.7	0.472	14.3	0.203
448	7	Tracy McGrady	25.7	6.2	5.7	1.7	0.7	0.431	12	0.18
449	8	Dwyane Wade	24.1	5.2	6.8	1.6	1.1	0.478	11	0.177
450	9	Amar'e Stoudemire	26	8.9	1.6	1	1.6	0.559	14.6	0.243
451	9	Ray Allen	23.9	4.4	3.7	1.1	0.1	0.428	10.7	0.168
452	11	Kevin Garnett	22.2	13.5	5.7	1.5	1.4	0.502	16.1	0.248
453	12	Gilbert Arenas	25.5	4.7	5.1	1.7	0.3	0.431	11.5	0.169
454	13	Vince Carter	24.5	5.2	4.2	1.4	0.6	0.452	9.4	0.159
455	14	P.J. Brown	10.8	9	2.2	0.9	0.6	0.446	6.9	0.118
456	14	Marcus Camby	10.3	10	2.3	0.9	3	0.465	5.8	0.138
457	14	Shawn Marion	19.4	11.3	1.9	2	1.5	0.476	12.5	0.191
458	1	Steve Nash	18.8	4.2	10.5	0.8	0.2	0.512	12.4	0.212
459	2	LeBron James	31.4	7	6.6	1.6	0.8	0.48	16.3	0.232
460	3	Dirk Nowitzki	26.6	9	2.8	0.7	1	0.48	17.7	0.275
461	4	Kobe Bryant	35.4	5.3	4.5	1.8	0.4	0.45	15.3	0.224
462	5	Chauncey Billups	18.5	3.1	8.6	0.9	0.1	0.418	15.5	0.254
463	6	Dwyane Wade	27.2	5.7	6.7	1.9	0.8	0.495	14.4	0.239
464	7	Elton Brand	24.7	10	2.6	1	2.5	0.527	14.8	0.229
465	8	Tim Duncan	18.6	11	3.2	0.9	2	0.484	10.8	0.187
466	9	Tony Parker	18.9	3.3	5.8	1	0.1	0.548	9.6	0.169
467	10	Allen Iverson	33	3.2	7.4	1.9	0.1	0.447	10.6	0.165
468	10	Shawn Marion	21.8	11.8	1.8	2	1.7	0.525	14.6	0.214
469	1	Dirk Nowitzki	24.6	8.9	3.4	0.7	0.8	0.502	16.3	0.278
470	2	Steve Nash	18.6	3.5	11.6	0.8	0.1	0.532	12.6	0.225
471	3	Kobe Bryant	31.6	5.7	5.4	1.4	0.5	0.463	13	0.199
472	4	Tim Duncan	20	10.6	3.4	0.8	2.4	0.546	13	0.23
473	5	LeBron James	27.3	6.7	6	1.6	0.7	0.476	13.7	0.206
474	6	Tracy McGrady	24.6	5.3	6.5	1.3	0.5	0.431	8.6	0.163
475	7	Chris Bosh	22.6	10.7	2.5	0.6	1.3	0.496	9.6	0.174
476	8	Gilbert Arenas	28.4	4.6	6	1.9	0.2	0.418	10.8	0.177
477	9	Carlos Boozer	20.9	11.7	3	0.9	0.3	0.561	9.9	0.185
478	9	Kevin Garnett	22.4	12.8	4.1	1.2	1.7	0.476	10.7	0.171
479	11	Chauncey Billups	17	3.4	7.2	1.2	0.2	0.427	11.4	0.216
480	12	Shaquille O'Neal	17.3	7.4	2	0.2	1.4	0.591	2.8	0.119
481	12	Dwyane Wade	27.4	4.7	7.5	2.1	1.2	0.491	8.8	0.219
482	14	Amar'e Stoudemire	20.4	9.6	1	1	1.3	0.575	11.2	0.201
483	15	Carmelo Anthony	28.9	6	3.8	1.2	0.4	0.476	7.3	0.14
484	15	Baron Davis	20.1	4.4	8.1	2.1	0.5	0.439	6.4	0.139
485	15	Tony Parker	18.6	3.2	5.5	1.1	0.1	0.52	9.6	0.185
486	1	Kobe Bryant	28.3	6.3	5.4	1.8	0.5	0.459	13.8	0.208
487	2	Chris Paul	21.1	4	11.6	2.7	0.1	0.488	17.8	0.284
488	3	Kevin Garnett	18.8	9.2	3.4	1.4	1.3	0.539	12.9	0.265
489	4	LeBron James	30	7.9	7.2	1.8	1.1	0.484	15.2	0.242
490	5	Dwight Howard	20.7	14.2	1.3	0.9	2.1	0.599	12.9	0.2
491	6	Amar'e Stoudemire	25.2	9.1	1.5	0.8	2.1	0.59	14.6	0.262
492	7	Tim Duncan	19.3	11.3	2.8	0.7	1.9	0.497	11.1	0.201
493	8	Tracy McGrady	21.6	5.1	5.9	1	0.5	0.419	5.8	0.115
494	9	Steve Nash	16.9	3.5	11.1	0.7	0.1	0.504	10.5	0.181
495	10	Manu Gin«ü∂¸bili	19.5	4.8	4.5	1.5	0.4	0.46	11.1	0.232
496	11	Dirk Nowitzki	23.6	8.6	3.5	0.7	0.9	0.479	12.9	0.223
497	12	Deron Williams	18.8	3	10.5	1.1	0.3	0.507	11.3	0.177
498	13	Carmelo Anthony	25.7	7.4	3.4	1.3	0.5	0.492	8.2	0.14
499	14	Carlos Boozer	21.1	10.4	2.9	1.2	0.5	0.547	10.2	0.173
500	14	Antawn Jamison	21.4	10.2	1.5	1.3	0.4	0.436	9.2	0.144
501	14	Paul Pierce	19.6	5.1	4.5	1.3	0.5	0.464	12.4	0.207
502	14	Rasheed Wallace	12.7	6.6	1.8	1.2	1.7	0.432	7.6	0.155
503	1	LeBron James	28.4	7.6	7.2	1.7	1.1	0.489	20.3	0.318
504	2	Kobe Bryant	26.8	5.2	4.9	1.5	0.5	0.467	12.7	0.206
505	3	Dwyane Wade	30.2	5	7.5	2.2	1.3	0.491	14.7	0.232
506	4	Dwight Howard	20.6	13.8	1.4	1	2.9	0.572	13.8	0.234
507	5	Chris Paul	22.8	5.5	11	2.8	0.1	0.503	18.3	0.292
508	6	Chauncey Billups	17.7	3	6.4	1.2	0.2	0.418	10.1	0.174
509	7	Paul Pierce	20.5	5.6	3.6	1	0.3	0.457	10.3	0.164
510	8	Tony Parker	22	3.1	6.9	0.9	0.1	0.506	8.6	0.168
511	9	Brandon Roy	22.6	4.7	5.1	1.1	0.3	0.48	13.5	0.223
512	10	Dirk Nowitzki	25.9	8.4	2.4	0.8	0.8	0.479	10.9	0.171
513	11	Tim Duncan	19.3	10.7	3.5	0.5	1.7	0.504	10.1	0.191
514	12	Yao Ming	19.7	9.9	1.8	0.4	1.9	0.548	10.6	0.196
515	1	LeBron James	29.7	7.3	8.6	1.6	1	0.503	18.5	0.299
516	2	Kevin Durant	30.1	7.6	2.8	1.4	1	0.476	16.1	0.238
517	3	Kobe Bryant	27	5.4	5	1.5	0.3	0.456	9.4	0.16
518	4	Dwight Howard	18.3	13.2	1.8	0.9	2.8	0.612	13.2	0.223
519	5	Dwyane Wade	26.6	4.8	6.5	1.8	1.1	0.476	13	0.224
520	6	Carmelo Anthony	28.2	6.6	3.2	1.3	0.4	0.458	7.9	0.145
521	7	Dirk Nowitzki	25	7.7	2.7	0.9	1	0.481	12.3	0.194
522	8	Steve Nash	16.5	3.3	11	0.5	0.1	0.507	9.9	0.178
523	9	Deron Williams	18.7	4	10.5	1.3	0.2	0.469	10.3	0.177
524	10	Amar'e Stoudemire	23.1	8.9	1	0.6	1	0.557	10.7	0.181
